start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770949920,1770949980,2026-02-13T02:32:00+00:00,2026-02-13T02:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1770949980,1770950040,2026-02-13T02:33:00+00:00,2026-02-13T02:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950040,1770950100,2026-02-13T02:34:00+00:00,2026-02-13T02:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950100,1770950160,2026-02-13T02:35:00+00:00,2026-02-13T02:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950160,1770950220,2026-02-13T02:36:00+00:00,2026-02-13T02:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950220,1770950280,2026-02-13T02:37:00+00:00,2026-02-13T02:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950280,1770950340,2026-02-13T02:38:00+00:00,2026-02-13T02:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950340,1770950400,2026-02-13T02:39:00+00:00,2026-02-13T02:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950400,1770950460,2026-02-13T02:40:00+00:00,2026-02-13T02:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950460,1770950520,2026-02-13T02:41:00+00:00,2026-02-13T02:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950520,1770950580,2026-02-13T02:42:00+00:00,2026-02-13T02:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950580,1770950640,2026-02-13T02:43:00+00:00,2026-02-13T02:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950640,1770950700,2026-02-13T02:44:00+00:00,2026-02-13T02:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950700,1770950760,2026-02-13T02:45:00+00:00,2026-02-13T02:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950760,1770950820,2026-02-13T02:46:00+00:00,2026-02-13T02:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950820,1770950880,2026-02-13T02:47:00+00:00,2026-02-13T02:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950880,1770950940,2026-02-13T02:48:00+00:00,2026-02-13T02:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1770950940,1770951000,2026-02-13T02:49:00+00:00,2026-02-13T02:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951000,1770951060,2026-02-13T02:50:00+00:00,2026-02-13T02:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951060,1770951120,2026-02-13T02:51:00+00:00,2026-02-13T02:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951120,1770951180,2026-02-13T02:52:00+00:00,2026-02-13T02:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951180,1770951240,2026-02-13T02:53:00+00:00,2026-02-13T02:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951240,1770951300,2026-02-13T02:54:00+00:00,2026-02-13T02:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951300,1770951360,2026-02-13T02:55:00+00:00,2026-02-13T02:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951360,1770951420,2026-02-13T02:56:00+00:00,2026-02-13T02:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951420,1770951480,2026-02-13T02:57:00+00:00,2026-02-13T02:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951480,1770951540,2026-02-13T02:58:00+00:00,2026-02-13T02:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1770951540,1770951600,2026-02-13T02:59:00+00:00,2026-02-13T03:00:00+00:00,,,,,,,,,,,,,,,,,,,,
